Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,50.000000 ,200.000000 ,550.000000 ,1050.000000 ,1550.000000  
04/02/2012 21:00,734903.875000,3.875000,1,1,1,0.068495,0.095498,0.164032,0.400000,0.400000 
04/02/2012 22:00,734903.916667,3.916667,1,1,1,0.067988,0.094814,0.163777,0.400000,0.400000 
04/02/2012 23:00,734903.958333,3.958333,1,1,1,0.067495,0.094150,0.163536,0.400000,0.400000 
05/02/2012 00:00,734904.000000,4.000000,1,1,1,0.067015,0.093504,0.163309,0.400000,0.400000 
05/02/2012 01:00,734904.041667,4.041667,1,1,1,0.066548,0.092874,0.163097,0.400000,0.400000 
05/02/2012 02:00,734904.083333,4.083333,1,1,1,0.066093,0.092261,0.162899,0.400000,0.400000 
05/02/2012 03:00,734904.125000,4.125000,1,1,1,0.065649,0.091664,0.162717,0.400000,0.400000 
05/02/2012 04:00,734904.166667,4.166667,1,1,1,0.065216,0.091082,0.162551,0.400000,0.400000 
05/02/2012 05:00,734904.208333,4.208333,1,1,1,0.064794,0.090514,0.162402,0.400000,0.400000 
05/02/2012 06:00,734904.250000,4.250000,1,1,1,0.064382,0.089960,0.162271,0.400000,0.400000 
05/02/2012 07:00,734904.291667,4.291667,1,1,1,0.063979,0.089419,0.162160,0.400000,0.400000 
05/02/2012 08:00,734904.333333,4.333333,1,1,1,0.063586,0.088890,0.162069,0.400000,0.400000 
05/02/2012 09:00,734904.375000,4.375000,1,1,1,0.063202,0.088374,0.162000,0.400000,0.400000 
05/02/2012 10:00,734904.416667,4.416667,1,1,1,0.062826,0.087870,0.161956,0.400000,0.400000 
05/02/2012 11:00,734904.458333,4.458333,1,1,1,0.062459,0.087377,0.161938,0.400000,0.400000 
05/02/2012 12:00,734904.500000,4.500000,1,1,1,0.062099,0.086895,0.161949,0.400000,0.400000 
05/02/2012 13:00,734904.541667,4.541667,1,1,1,0.061747,0.086424,0.161991,0.400000,0.400000 
05/02/2012 14:00,734904.583333,4.583333,1,1,1,0.061403,0.085963,0.162068,0.400000,0.400000 
05/02/2012 15:00,734904.625000,4.625000,1,1,1,0.061066,0.085511,0.162182,0.400000,0.400000 
05/02/2012 16:00,734904.666667,4.666667,1,1,1,0.060735,0.085070,0.162338,0.400000,0.400000 
05/02/2012 17:00,734904.708333,4.708333,1,1,1,0.060412,0.084637,0.162540,0.400000,0.400000 
05/02/2012 18:00,734904.750000,4.750000,1,1,1,0.060094,0.084214,0.162793,0.400000,0.400000 
05/02/2012 19:00,734904.791667,4.791667,1,1,1,0.059783,0.083799,0.163103,0.400000,0.400000 
05/02/2012 20:00,734904.833333,4.833333,1,1,1,0.059478,0.083393,0.163477,0.400000,0.400000 
05/02/2012 21:00,734904.875000,4.875000,1,1,1,0.059179,0.082995,0.163921,0.400000,0.400000 
05/02/2012 22:00,734904.916667,4.916667,1,1,1,0.058885,0.082606,0.164444,0.400000,0.400000 
05/02/2012 23:00,734904.958333,4.958333,1,1,1,0.058597,0.082224,0.165055,0.400000,0.400000 
06/02/2012 00:00,734905.000000,5.000000,1,1,1,0.058314,0.081850,0.165764,0.400000,0.400000 
06/02/2012 01:00,734905.041667,5.041667,1,1,1,0.058036,0.081483,0.166581,0.400000,0.400000 
06/02/2012 02:00,734905.083333,5.083333,1,1,1,0.057763,0.081124,0.167518,0.400000,0.400000 
06/02/2012 03:00,734905.125000,5.125000,1,1,1,0.057495,0.080773,0.168587,0.400000,0.400000 
06/02/2012 04:00,734905.166667,5.166667,1,1,1,0.057231,0.080428,0.169799,0.400000,0.400000 
06/02/2012 05:00,734905.208333,5.208333,1,1,1,0.056972,0.080091,0.171168,0.400000,0.400000 
06/02/2012 06:00,734905.250000,5.250000,1,1,1,0.056718,0.079761,0.172706,0.400000,0.400000 
06/02/2012 07:00,734905.291667,5.291667,1,1,1,0.056467,0.079438,0.174422,0.400000,0.400000 
06/02/2012 08:00,734905.333333,5.333333,1,1,1,0.056221,0.079121,0.176329,0.400000,0.400000 
06/02/2012 09:00,734905.375000,5.375000,1,1,1,0.055979,0.078812,0.178431,0.400000,0.400000 
06/02/2012 10:00,734905.416667,5.416667,1,1,1,0.055741,0.078509,0.180734,0.400000,0.400000 
06/02/2012 11:00,734905.458333,5.458333,1,1,1,0.055507,0.078213,0.183237,0.400000,0.400000 
06/02/2012 12:00,734905.500000,5.500000,1,1,1,0.055277,0.077923,0.185938,0.400000,0.400000 
06/02/2012 13:00,734905.541667,5.541667,1,1,1,0.055050,0.077640,0.188827,0.400000,0.400000 
06/02/2012 14:00,734905.583333,5.583333,1,1,1,0.054827,0.077363,0.191893,0.400000,0.400000 
